protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
groL__b4143__JW4103	cof__b0446__JW0436	P0A6F5	P46891	LIT
yidF__b3674__JW3650	cpdA__b3032__JW3000	P31443	P0AEW4	Y2H
cpxR__b3912__JW3883	cpxA__b3911__JW3882	P0AE88	P0AE82	Y2H
cpxR__b3912__JW3883	cpxR__b3912__JW3883	P0AE88	P0AE88	LIT
lysA__b2838__JW2806	cpxR__b3912__JW3883	P00861	P0AE88	Y2H_LIT
insN__b4283__JW5771	creA__b4397__JW4360	P39212	P0AE91	Y2H
creB__b4398__JW4361	creB__b4398__JW4361	P08368	P08368	Y2H_LIT
creC__b4399__JW4362	creB__b4398__JW4361	P08401	P08368	Y2H_LIT
hypE__b2730__JW2700	creB__b4398__JW4361	P24193	P08368	Y2H
xylH__b3568__JW3540	creB__b4398__JW4361	P0AGI4	P08368	Y2H
artP__b0864__JW0848	crp__b3357__JW5702	P0AAF6	P0ACJ8	Y2H
cyaA__b3806__JW3778	crp__b3357__JW5702	P00936	P0ACJ8	Y2H
emtA__b1193__JW5821	crp__b3357__JW5702	P76009	P0ACJ8	Y2H
entD__b0583__JW5085	crp__b3357__JW5702	P19925	P0ACJ8	Y2H
eptB__b3546__JW5660	crp__b3357__JW5702	P37661	P0ACJ8	Y2H
frlR__b3375__JW5698	crp__b3357__JW5702	P45544	P0ACJ8	Y2H
gcvA__b2808__JW2779	crp__b3357__JW5702	P0A9F6	P0ACJ8	Y2H
hslR__b3400__JW3363	crp__b3357__JW5702	P0ACG8	P0ACJ8	Y2H
hyfR__b2491__JW2476	crp__b3357__JW5702	P71229	P0ACJ8	Y2H
lysR__b2839__JW2807	crp__b3357__JW5702	P03030	P0ACJ8	Y2H
malT__b3418__JW3381	crp__b3357__JW5702	P06993	P0ACJ8	Y2H_LIT
mltB__b2701__JW2671	crp__b3357__JW5702	P41052	P0ACJ8	Y2H
mtlR__b3601__JW3575	crp__b3357__JW5702	P0AF10	P0ACJ8	Y2H
priC__b0467__JW0456	crp__b3357__JW5702	P23862	P0ACJ8	Y2H
rffT__b4481__JW5596	crp__b3357__JW5702	P56258	P0ACJ8	Y2H
rraA__b3929__JW3900	crp__b3357__JW5702	P0A8R0	P0ACJ8	Y2H
sufS__b1680__JW1670	crp__b3357__JW5702	P77444	P0ACJ8	Y2H
ycbG__b0956__JW0939	crp__b3357__JW5702	P0A8N0	P0ACJ8	Y2H
ycbW__b0946__JW5125	crp__b3357__JW5702	P75862	P0ACJ8	Y2H
yedS__b1966__JW1949	crp__b3357__JW5702	NoData	P0ACJ8	Y2H
yfgD__b2495__JW2480	crp__b3357__JW5702	P76569	P0ACJ8	Y2H
yggW__b2955__JW2922	crp__b3357__JW5702	P52062	P0ACJ8	Y2H
yhcA__b3215__JW3182	crp__b3357__JW5702	P28722	P0ACJ8	Y2H
yibA__b3594__JW3568	crp__b3357__JW5702	P0ADK6	P0ACJ8	Y2H
yiiR__b3921__JW3892	crp__b3357__JW5702	P0AF34	P0ACJ8	Y2H
csdA__b2810__JW2781	csdA__b2810__JW2781	Q46925	Q46925	Y2H_LIT
gcd__b0124__JW0120	csdA__b2810__JW2781	P15877	Q46925	LIT
rne__b1084__JW1071	csdA__b2810__JW2781	P21513	Q46925	LIT
csgD__b1040__JW1023	csgD__b1040__JW1023	P52106	P52106	Y2H
parE__b3030__JW2998	csgD__b1040__JW1023	P20083	P52106	LIT
groL__b4143__JW4103	csiR__b2664__JW2639	P0A6F5	P37338	LIT
aceF__b0115__JW0111	cspB__b1557__JW1549	P06959	P36995	LIT
cspC__b1823__JW1812	cspC__b1823__JW1812	P0A9Y6	P0A9Y6	Y2H
rplA__b3984__JW3947	cspG__b0990__JW0974	P0A7L0	P0A978	LIT
gmhB__b0200__JW0196	csrA__b2696__JW2666	P63228	P69913	Y2H
ybgP__b0717__JW0707	csrA__b2696__JW2666	P75749	P69913	Y2H
yjgZ__b4277__JW4236	csrA__b2696__JW2666	NoData	P69913	Y2H
rplR__b3304__JW3266	cusB__b0574__JW0563	P0C018	P77239	Y2H
cusF__b0573__JW0562	cusC__b0572__JW0561	P77214	P77211	LIT
cusB__b0574__JW0563	cusF__b0573__JW0562	P77239	P77214	LIT
cusR__b0571__JW0560	cusR__b0571__JW0560	P0ACZ8	P0ACZ8	Y2H_LIT
yedW__b1969__JW5322	cusR__b0571__JW0560	P76340	P0ACZ8	Y2H_LIT
yfcJ__b2322__JW2319	cusS__b0570__JW5082	P77549	P77485	Y2H
fliK__b1943__JW1927	cutA__b4137__JW4097	P52614	P69488	Y2H
ribD__b0414__JW0404	cvpA__b2313__JW2310	P25539	P08550	LIT
ydcJ__b1423__JW1419	cyaA__b3806__JW3778	P76097	P00936	Y2H
appC__b0978__JW0960	cydA__b0733__JW0722	P26459	P0ABJ9	LIT
proA__b0243__JW0233	cysA__b2422__JW2415	P07004	P16676	Y2H_LIT
cysB__b1275__JW1267	cysB__b1275__JW1267	P0A9F3	P0A9F3	Y2H
yciW__b1287__JW5200	cysB__b1275__JW1267	P76035	P0A9F3	Y2H
yjdA__b4109__JW4070	cysB__b1275__JW1267	P16694	P0A9F3	Y2H
cysN__b2751__JW2721	cysD__b2752__JW2722	P23845	P21156	Y2H_LIT
nadE__b1740__JW1729	cysE__b3607__JW3582	P18843	P0A9D4	LIT
nadE__b1740__JW1729	cysG__b3368__JW3331	P18843	P0AEA8	LIT
groL__b4143__JW4103	cysH__b2762__JW2732	P0A6F5	P17854	LIT
ycbX__b0947__JW5126	cysI__b2763__JW2733	P75863	P17846	LIT
cysJ__b2764__JW2734	cysJ__b2764__JW2734	P38038	P38038	Y2H
ycbX__b0947__JW5126	cysJ__b2764__JW2734	P75863	P38038	Y2H_LIT
cysE__b3607__JW3582	cysK__b2414__JW2407	P0A9D4	P0ABK5	LIT
accC__b3256__JW3224	cysM__b2421__JW2414	P24182	P16703	Y2H_LIT
dnaK__b0014__JW0013	cysP__b2425__JW2418	P0A6Y8	P16700	LIT
crp__b3357__JW5702	cytR__b3934__JW3905	P0ACJ8	P0ACN7	Y2H_LIT
yfaY__b2249__JW2243	dacA__b0632__JW0627	P77808	P0AEB2	LIT
yaeT__b0177__JW0172	damX__b3388__JW3351	P0A940	P11557	LIT
dapA__b2478__JW2463	dapA__b2478__JW2463	P0A6L2	P0A6L2	Y2H
groL__b4143__JW4103	dapE__b2472__JW2456	P0A6F5	P0AED7	LIT
hemX__b3803__JW3775	dapE__b2472__JW2456	P09127	P0AED7	LIT
groS__b4142__JW4102	dcd__b2065__JW2050	P0A6F9	P28248	LIT
aceF__b0115__JW0111	dcm__b1961__JW1944	P06959	P0AED9	LIT
ycdP__b1021__JW1006	dcm__b1961__JW1944	P69432	P0AED9	Y2H
yliL__b0816__JW5969	dcm__b1961__JW1944	NoData	P0AED9	Y2H
dcrB__b3472__JW5682	dcrB__b3472__JW5682	P0AEE1	P0AEE1	Y2H
osmY__b4376__JW4338	dcrB__b3472__JW5682	P0AFH8	P0AEE1	Y2H
ycbL__b0927__JW0910	dcrB__b3472__JW5682	P75849	P0AEE1	Y2H
dcuS__b4125__JW4086	dcuR__b4124__JW4085	P0AEC8	P0AD01	LIT
lysA__b2838__JW2806	dcuR__b4124__JW4085	P00861	P0AD01	Y2H
sdhA__b0723__JW0713	dcuS__b4125__JW4086	P0AC41	P0AEC8	LIT
deaD__b3162__JW5531	deaD__b3162__JW5531	P0A9P6	P0A9P6	Y2H
fucO__b2799__JW2770	def__b3287__JW3248	P0A9S1	P0A6K3	Y2H
rplD__b3319__JW3281	def__b3287__JW3248	P60723	P0A6K3	LIT
dnaK__b0014__JW0013	degP__b0161__JW0157	P0A6Y8	P0C0V0	LIT
rseA__b2572__JW2556	degS__b3235__JW3204	P0AFX7	P0AEE3	LIT
pbpG__b2134__JW5355	der__b2511__JW5403	P0AFI5	P0A6P5	Y2H
rplA__b3984__JW3947	dfp__b3639__JW5642	P0A7L0	P0ABQ0	LIT
dgoR__b4479__JW5627	dgoR__b4479__JW5627	P31460	P31460	Y2H
ptsG__b1101__JW1087	dgsA__b1594__JW1586	P69786	P50456	LIT
yqaB__b2690__JW2665	dgsA__b1594__JW1586	P77475	P50456	LIT
uvrD__b3813__JW3786	dgt__b0160__JW0156	P03018	P15723	LIT
cyaA__b3806__JW3778	dhaH__b1198__JW5185	P00936	P37349	Y2H
cysP__b2425__JW2418	dhaH__b1198__JW5185	P16700	P37349	LIT
maeB__b2463__JW2447	dhaH__b1198__JW5185	P76558	P37349	LIT
mtlA__b3599__JW3573	dhaH__b1198__JW5185	P00550	P37349	LIT
fepE__b0587__JW0579	dhaK__b1200__JW5187	P26266	P76015	Y2H
guaC__b0104__JW0101	dhaK__b1200__JW5187	P60560	P76015	LIT
dhaK__b1200__JW5187	dhaR__b1201__JW5188	P76015	P76016	Y2H_LIT
folA__b0048__JW0047	dicB__b1575__JW1566	P0ABQ4	P09557	Y2H
JW0653	dicB__b1575__JW1566	NoData	P09557	Y2H
minC__b1176__JW1165	dicB__b1575__JW1566	P18196	P09557	LIT
nadE__b1740__JW1729	dicB__b1575__JW1566	P18843	P09557	Y2H
ribD__b0414__JW0404	dicB__b1575__JW1566	P25539	P09557	Y2H
thiL__b0417__JW0407	dicB__b1575__JW1566	P0AGG0	P09557	Y2H
recA__b2699__JW2669	dinI__b1061__JW1048	P0A7G6	P0ABR1	LIT
dinJ__b0226__JW0216	dinJ__b0226__JW0216	Q47150	Q47150	Y2H
holA__b0640__JW0635	dinJ__b0226__JW0216	P28630	Q47150	Y2H
yafQ__b0225__JW0215	dinJ__b0226__JW0216	Q47149	Q47150	Y2H_LIT
dsbC__b2893__JW2861	dipZ__b4136__JW5734	P0AEG6	P36655	LIT
greA__b3181__JW3148	dksA__b0145__JW0141	P0A6W5	P0ABS1	LIT
dmsD__b1591__JW5262	dmsA__b0894__JW5118	P69853	P18775	LIT
soxR__b4063__JW4024	dmsB__b0895__JW0878	P0ACS2	P18776	Y2H
yibT__b4554__JW3576	dmsB__b0895__JW0878	Q2M7R5	P18776	Y2H
torA__b0997__JW0982	dmsD__b1591__JW5262	P33225	P69853	LIT
ynfE__b1587__JW1579	dmsD__b1591__JW5262	P77374	P69853	LIT
ynfF__b1588__JW5260	dmsD__b1591__JW5262	P77783	P69853	LIT
adhE__b1241__JW1228	dnaA__b3702__JW3679	P0A9Q7	P03004	LIT
cca__b3056__JW3028	dnaA__b3702__JW3679	P06961	P03004	LIT
creC__b4399__JW4362	dnaA__b3702__JW3679	P08401	P03004	LIT
dnaA__b3702__JW3679	dnaA__b3702__JW3679	P03004	P03004	LIT
dnaJ__b0015__JW0014	dnaA__b3702__JW3679	P08622	P03004	LIT
dnaN__b3701__JW3678	dnaA__b3702__JW3679	P0A988	P03004	LIT
dnaX__b0470__JW0459	dnaA__b3702__JW3679	P06710	P03004	LIT
dps__b0812__JW0797	dnaA__b3702__JW3679	P0ABT2	P03004	LIT
hda__b2496__JW5397	dnaA__b3702__JW3679	P69931	P03004	LIT
hupA__b4000__JW3964	dnaA__b3702__JW3679	P0ACF0	P03004	LIT
nadE__b1740__JW1729	dnaA__b3702__JW3679	P18843	P03004	Y2H_LIT
rpoB__b3987__JW3950	dnaA__b3702__JW3679	P0A8V2	P03004	LIT
rpsG__b3341__JW3303	dnaA__b3702__JW3679	P02359	P03004	LIT
tufB__b3980__JW3943	dnaA__b3702__JW3679	P0A6N1	P03004	LIT
dnaA__b3702__JW3679	dnaB__b4052__JW4012	P03004	P0ACB0	LIT
dnaC__b4361__JW4325	dnaB__b4052__JW4012	P0AEF0	P0ACB0	Y2H_LIT
dnaG__b3066__JW3038	dnaB__b4052__JW4012	P0ABS5	P0ACB0	LIT
dnaJ__b0015__JW0014	dnaB__b4052__JW4012	P08622	P0ACB0	LIT
priC__b0467__JW0456	dnaB__b4052__JW4012	P23862	P0ACB0	Y2H
tsf__b0170__JW0165	dnaC__b4361__JW4325	P0A6P1	P0AEF0	LIT
dnaN__b3701__JW3678	dnaE__b0184__JW0179	P0A988	P10443	Y2H_LIT
dnaX__b0470__JW0459	dnaE__b0184__JW0179	P06710	P10443	Y2H_LIT
evgS__b2370__JW2367	dnaE__b0184__JW0179	P30855	P10443	LIT
holA__b0640__JW0635	dnaE__b0184__JW0179	P28630	P10443	Y2H_LIT
holC__b4259__JW4216	dnaE__b0184__JW0179	P28905	P10443	LIT
holD__b4372__JW4334	dnaE__b0184__JW0179	P28632	P10443	LIT
hrpB__b0148__JW0144	dnaE__b0184__JW0179	P37024	P10443	LIT
tufB__b3980__JW3943	dnaE__b0184__JW0179	P0A6N1	P10443	LIT
ybdL__b0600__JW0593	dnaE__b0184__JW0179	P77806	P10443	Y2H_LIT
dnaK__b0014__JW0013	dnaJ__b0015__JW0014	P0A6Y8	P08622	LIT
glmS__b3729__JW3707	dnaJ__b0015__JW0014	P17169	P08622	LIT
glyQ__b3560__JW3531	dnaJ__b0015__JW0014	P00960	P08622	LIT
grpE__b2614__JW2594	dnaJ__b0015__JW0014	P09372	P08622	LIT
kdsB__b0918__JW0901	dnaJ__b0015__JW0014	P04951	P08622	LIT
malT__b3418__JW3381	dnaJ__b0015__JW0014	P06993	P08622	Y2H_LIT
mukB__b0924__JW0907	dnaJ__b0015__JW0014	P22523	P08622	LIT
narG__b1224__JW1215	dnaJ__b0015__JW0014	P09152	P08622	LIT
recJ__b2892__JW2860	dnaJ__b0015__JW0014	P21893	P08622	LIT
rpsF__b4200__JW4158	dnaJ__b0015__JW0014	P02358	P08622	LIT
selB__b3590__JW3563	dnaJ__b0015__JW0014	P14081	P08622	LIT
srmB__b2576__JW2560	dnaJ__b0015__JW0014	P21507	P08622	LIT
tufB__b3980__JW3943	dnaJ__b0015__JW0014	P0A6N1	P08622	LIT
uspG__b0607__JW0600	dnaJ__b0015__JW0014	P39177	P08622	LIT
fabF__b1095__JW1081	dnaK__b0014__JW0013	P0AAI5	P0A6Y8	LIT
moeB__b0826__JW0810	dnaK__b0014__JW0013	P12282	P0A6Y8	LIT
rne__b1084__JW1071	dnaK__b0014__JW0013	P21513	P0A6Y8	LIT
dnaN__b3701__JW3678	dnaN__b3701__JW3678	P0A988	P0A988	Y2H_LIT
mutL__b4170__JW4128	dnaN__b3701__JW3678	P23367	P0A988	LIT
mutS__b2733__JW2703	dnaN__b3701__JW3678	P23909	P0A988	LIT
accA__b0185__JW0180	dnaQ__b0215__JW0205	P0ABD5	P03007	LIT
dnaE__b0184__JW0179	dnaQ__b0215__JW0205	P10443	P03007	Y2H_LIT
dnaQ__b0215__JW0205	dnaQ__b0215__JW0205	P03007	P03007	Y2H
dnaX__b0470__JW0459	dnaQ__b0215__JW0205	P06710	P03007	Y2H_LIT
holA__b0640__JW0635	dnaQ__b0215__JW0205	P28630	P03007	Y2H_LIT
holC__b4259__JW4216	dnaQ__b0215__JW0205	P28905	P03007	LIT
holD__b4372__JW4334	dnaQ__b0215__JW0205	P28632	P03007	LIT
holE__b1842__JW1831	dnaQ__b0215__JW0205	P0ABS8	P03007	Y2H_LIT
tufB__b3980__JW3943	dnaQ__b0215__JW0205	P0A6N1	P03007	LIT
yifE__b3764__JW3737	dnaQ__b0215__JW0205	P0ADN2	P03007	Y2H
atpH__b3735__JW3713	dnaX__b0470__JW0459	P0ABA4	P06710	Y2H
bglG__b3723__JW3701	dnaX__b0470__JW0459	P11989	P06710	Y2H
dnaN__b3701__JW3678	dnaX__b0470__JW0459	P0A988	P06710	LIT
dnaX__b0470__JW0459	dnaX__b0470__JW0459	P06710	P06710	Y2H
fic__b3361__JW3324	dnaX__b0470__JW0459	P20605	P06710	Y2H
holA__b0640__JW0635	dnaX__b0470__JW0459	P28630	P06710	LIT
holD__b4372__JW4334	dnaX__b0470__JW0459	P28632	P06710	Y2H_LIT
hslR__b3400__JW3363	dnaX__b0470__JW0459	P0ACG8	P06710	Y2H
iscU__b2529__JW2513	dnaX__b0470__JW0459	P0ACD4	P06710	Y2H
rplA__b3984__JW3947	dnaX__b0470__JW0459	P0A7L0	P06710	LIT
rraA__b3929__JW3900	dnaX__b0470__JW0459	P0A8R0	P06710	Y2H
trxB__b0888__JW0871	dnaX__b0470__JW0459	P0A9P4	P06710	Y2H
ompF__b0929__JW0912	dos__b1489__JW1484	P02931	P76129	Y2H
mtlD__b3600__JW3574	dppA__b3544__JW3513	P09424	P23847	LIT
cspD__b0880__JW0864	dppD__b3541__JW3510	P0A968	P0AAG0	Y2H
ddpB__b1486__JW1481	dppD__b3541__JW3510	P77308	P0AAG0	Y2H
murI__b3967__JW5550	dppF__b3540__JW3509	P22634	P37313	Y2H
yohC__b2135__JW5356	dppF__b3540__JW3509	P0AD17	P37313	Y2H
clpA__b0882__JW0866	dps__b0812__JW0797	P0ABH9	P0ABT2	LIT
clpS__b0881__JW0865	dps__b0812__JW0797	P0A8Q6	P0ABT2	LIT
rpsB__b0169__JW0164	dsbA__b3860__JW3832	P0A7V0	P0AEG4	LIT
dsbA__b3860__JW3832	dsbB__b1185__JW5182	P0AEG4	P0A6M2	LIT
dsbB__b1185__JW5182	dsbC__b2893__JW2861	P0A6M2	P0AEG6	LIT
ydbC__b1406__JW1403	dsbG__b0604__JW0597	P25906	P77202	LIT
grpE__b2614__JW2594	dsdX__b2365__JW2362	P09372	P08555	LIT
flgF__b1077__JW1064	dsrB__b1952__JW1936	P75938	P0AEG8	Y2H
pmrD__b2259__JW2254	dsrB__b1952__JW1936	P37590	P0AEG8	Y2H
groL__b4143__JW4103	dusB__b3260__JW3228	P0A6F5	P0ABT5	LIT
groL__b4143__JW4103	dusC__b2140__JW2128	P0A6F5	P33371	LIT
intA__b2622__JW2602	dusC__b2140__JW2128	P32053	P33371	LIT
recG__b3652__JW3627	dusC__b2140__JW2128	P24230	P33371	LIT
secA__b0098__JW0096	dusC__b2140__JW2128	P10408	P33371	LIT
ydaY__b1366__JW1360	dusC__b2140__JW2128	P76069	P33371	LIT
tufB__b3980__JW3943	dxs__b0420__JW0410	P0A6N1	P77488	LIT
yjgL__b4253__JW5757	dxs__b0420__JW0410	P39336	P77488	LIT
yncC__b1450__JW1445	ebgC__b3077__JW3048	P76114	P0AC73	Y2H
ebgA__b3076__JW5511	eda__b1850__JW1839	P06864	P0A955	Y2H
eda__b1850__JW1839	eda__b1850__JW1839	P0A955	P0A955	Y2H
groL__b4143__JW4103	ego__b1513__JW1506	P0A6F5	P77257	LIT
yfcN__b2331__JW2328	ego__b1513__JW1506	P0A8B2	P77257	Y2H
mazG__b2781__JW2752	elaB__b2266__JW2261	P0AEY3	P0AEH5	LIT
rpoB__b3987__JW3950	elbB__b3209__JW3176	P0A8V2	P0ABU5	LIT
emrA__b2685__JW2660	emrA__b2685__JW2660	P27303	P27303	Y2H
grpE__b2614__JW2594	emrY__b2367__JW2364	P09372	P52600	LIT
rne__b1084__JW1071	eno__b2779__JW2750	P21513	P0A6P9	LIT
entB__b0595__JW0587	entB__b0595__JW0587	P0ADI4	P0ADI4	Y2H_LIT
ybdB__b0597__JW0589	entB__b0595__JW0587	P0A8Y8	P0ADI4	LIT
dusC__b2140__JW2128	entE__b0594__JW0586	P33371	P10378	LIT
entB__b0595__JW0587	entE__b0594__JW0586	P0ADI4	P10378	Y2H_LIT
entB__b0595__JW0587	entF__b0586__JW0578	P0ADI4	P11454	LIT
prmA__b3259__JW3227	envR__b3264__JW3232	P0A8T1	P0ACT2	Y2H
ompR__b3405__JW3368	envZ__b3404__JW3367	P0AA16	P0AEJ4	LIT
groL__b4143__JW4103	epd__b2927__JW2894	P0A6F5	P0A9B6	LIT
zipA__b2412__JW2404	eptA__b4114__JW5730	P77173	P30845	LIT
mazG__b2781__JW2752	era__b2566__JW2550	P0AEY3	P06616	Y2H_LIT
tufB__b3980__JW3943	era__b2566__JW2550	P0A6N1	P06616	LIT
pheS__b1714__JW5277	erfK__b1990__JW1968	P08312	P39176	Y2H_LIT
prsA__b1207__JW1198	erfK__b1990__JW1968	P0A717	P39176	LIT
eutC__b2440__JW2433	eutA__b2451__JW2435	P19636	P76551	Y2H
rsgA__b4161__JW4122	eutA__b2451__JW2435	P39286	P76551	LIT
groL__b4143__JW4103	eutB__b2441__JW2434	P0A6F5	P0AEJ6	LIT
alsB__b4088__JW4049	eutC__b2440__JW2433	P39265	P19636	Y2H
atpH__b3735__JW3713	eutC__b2440__JW2433	P0ABA4	P19636	Y2H
bglG__b3723__JW3701	eutC__b2440__JW2433	P11989	P19636	Y2H
bioB__b0775__JW0758	eutC__b2440__JW2433	P12996	P19636	Y2H
citB__b0620__JW0612	eutC__b2440__JW2433	P0AEF4	P19636	Y2H
dnaG__b3066__JW3038	eutC__b2440__JW2433	P0ABS5	P19636	Y2H
elbB__b3209__JW3176	eutC__b2440__JW2433	P0ABU5	P19636	Y2H
eutA__b2451__JW2435	eutC__b2440__JW2433	P76551	P19636	Y2H
fliG__b1939__JW1923	eutC__b2440__JW2433	P0ABZ1	P19636	Y2H
glcD__b2979__JW2946	eutC__b2440__JW2433	P0AEP9	P19636	Y2H
hcp__b0873__JW0857	eutC__b2440__JW2433	P75825	P19636	Y2H
hemH__b0475__JW0464	eutC__b2440__JW2433	P23871	P19636	Y2H
hslR__b3400__JW3363	eutC__b2440__JW2433	P0ACG8	P19636	Y2H
idnK__b4268__JW4225	eutC__b2440__JW2433	P39208	P19636	Y2H
malT__b3418__JW3381	eutC__b2440__JW2433	P06993	P19636	Y2H
moaE__b0785__JW0768	eutC__b2440__JW2433	P30749	P19636	Y2H
nikR__b3481__JW3446	eutC__b2440__JW2433	P0A6Z6	P19636	Y2H
uvrB__b0779__JW0762	eutC__b2440__JW2433	P0A8F8	P19636	Y2H
yaiE__b0391__JW0382	eutC__b2440__JW2433	P0C037	P19636	Y2H
ybjN__b0853__JW0837	eutC__b2440__JW2433	P0AAY6	P19636	Y2H
yceP__b1060__JW5152	eutC__b2440__JW2433	P0AB33	P19636	Y2H
yebW__b1837__JW5303	eutC__b2440__JW2433	P76275	P19636	Y2H
yffB__b2471__JW2455	eutC__b2440__JW2433	P24178	P19636	Y2H
groL__b4143__JW4103	eutG__b2453__JW2437	P0A6F5	P76553	LIT
glmS__b3729__JW3707	eutH__b2452__JW2436	P17169	P76552	LIT
eutQ__b2460__JW2444	eutI__b2458__JW2442	P76555	P77218	Y2H
pheA__b2599__JW2580	eutI__b2458__JW2442	P0A9J8	P77218	LIT
eutQ__b2460__JW2444	eutQ__b2460__JW2444	P76555	P76555	Y2H
flxA__b1566__JW1558	eutQ__b2460__JW2444	P77609	P76555	Y2H
mdh__b3236__JW3205	eutQ__b2460__JW2444	P61889	P76555	Y2H
evgS__b2370__JW2367	evgA__b2369__JW2366	P30855	P0ACZ4	Y2H_LIT
exbB__b3006__JW2974	exbB__b3006__JW2974	P0ABU7	P0ABU7	Y2H
nuoG__b2283__JW2278	exbB__b3006__JW2974	P33602	P0ABU7	Y2H
tolB__b0740__JW5100	exbB__b3006__JW2974	P0A855	P0ABU7	LIT
exbB__b3006__JW2974	exbD__b3005__JW2973	P0ABU7	P0ABV2	LIT
exbD__b3005__JW2973	exbD__b3005__JW2973	P0ABV2	P0ABV2	Y2H
glvB__b3682__JW3659	exbD__b3005__JW2973	P69789	P0ABV2	Y2H
gspH__b3329__JW3291	exbD__b3005__JW2973	P41443	P0ABV2	Y2H
tolB__b0740__JW5100	exbD__b3005__JW2973	P0A855	P0ABV2	LIT
acpP__b1094__JW1080	fabH__b1091__JW1077	P0A6A8	P0A6R0	LIT
yjgD__b4255__JW4212	fabI__b1288__JW1281	P0AF90	P0AEK4	LIT
fadR__b1187__JW1176	fabR__b3963__JW3935	P0A8V6	P0ACU5	LIT
murB__b3972__JW3940	fadH__b3081__JW3052	P08373	P42593	LIT
narH__b1225__JW1216	fadH__b3081__JW3052	P11349	P42593	Y2H_LIT
narW__b1466__JW1461	fadH__b3081__JW3052	P19317	P42593	Y2H
fadL__b2344__JW2341	fadL__b2344__JW2341	P10384	P10384	LIT
dnaK__b0014__JW0013	fbaA__b2925__JW2892	P0A6Y8	P0AB71	LIT
fbaA__b2925__JW2892	fbaA__b2925__JW2892	P0AB71	P0AB71	Y2H
aceF__b0115__JW0111	fdhD__b3895__JW3866	P06959	P32177	LIT
fdnG__b1474;__JW1470	fdhE__b3891__JW3862	P24183	P13024	Y2H_LIT
fdoG__b3894;__JW3865	fdhE__b3891__JW3862	P32176	P13024	LIT
fdnH__b1475__JW1471	fdnG__b1474;__JW1470	P0AAJ3	P24183	LIT
tufB__b3980__JW3943	fdnG__b1474;__JW1470	P0A6N1	P24183	LIT
udp__b3831__JW3808	fdoG__b3894;__JW3865	P12758	P32176	LIT
fdoG__b3894;__JW3865	fdoH__b3893__JW3864	P32176	P0AAJ5	LIT
iscA__b2528__JW2512	fdx__b2525__JW2509	P0AAC8	P0A9R4	Y2H_LIT
fecR__b4292__JW4252	fecA__b4291__JW4251	P23485	P13036	LIT
dnaQ__b0215__JW0205	fecB__b4290__JW4250	P03007	P15028	LIT
dnaX__b0470__JW0459	fecB__b4290__JW4250	P06710	P15028	LIT
groL__b4143__JW4103	fecE__b4287__JW4247	P0A6F5	P15031	LIT
rpoC__b3988__JW3951	fecI__b4293__JW4253	P0A8T7	P23484	LIT
fecI__b4293__JW4253	fecR__b4292__JW4252	P23484	P23485	LIT
fliK__b1943__JW1927	feoA__b3408__JW3371	P52614	P0AEL3	Y2H
yheS__b3352__JW3315	feoA__b3408__JW3371	P63389	P0AEL3	Y2H
feoB__b3409__JW3372	feoB__b3409__JW3372	P33650	P33650	Y2H
fepA__b0584__JW5086	fepA__b0584__JW5086	P05825	P05825	LIT
fepC__b0588__JW0580	fepC__b0588__JW0580	P23878	P23878	Y2H
ftsY__b3464__JW3429	ffh__b2610__JW5414	P10121	P0AGD7	Y2H_LIT
fusA__b3340__JW3302	ffh__b2610__JW5414	P0A6M8	P0AGD7	LIT
msrA__b4219__JW4178	ffh__b2610__JW5414	P0A744	P0AGD7	LIT
evgA__b2369__JW2366	fhlA__b2731__JW2701	P0ACZ4	P19323	Y2H
fhlA__b2731__JW2701	fhlA__b2731__JW2701	P19323	P19323	LIT
groL__b4143__JW4103	fhlA__b2731__JW2701	P0A6F5	P19323	Y2H_LIT
tolB__b0740__JW5100	fhuA__b0150__JW0146	P0A855	P06971	LIT
lolD__b1117__JW5162	fhuC__b0151__JW0147	P75957	P07821	Y2H
accD__b2316__JW2313	fhuF__b4367__JW4331	P0A9Q5	P39405	Y2H
argK__b2918__JW2885	fhuF__b4367__JW4331	P27254	P39405	Y2H
atpG__b3733__JW3711	fhuF__b4367__JW4331	P0ABA6	P39405	Y2H
citE__b0616__JW0608	fhuF__b4367__JW4331	P0A9I1	P39405	Y2H
hisF__b2025__JW2007	fhuF__b4367__JW4331	P60664	P39405	Y2H
hupB__b0440__JW0430	fhuF__b4367__JW4331	P0ACF4	P39405	Y2H
lysR__b2839__JW2807	fhuF__b4367__JW4331	P03030	P39405	Y2H
nikR__b3481__JW3446	fhuF__b4367__JW4331	P0A6Z6	P39405	Y2H
NoData__b2228__JW2222	fhuF__b4367__JW4331	NoData	P39405	Y2H
pdhR__b0113__JW0109	fhuF__b4367__JW4331	P0ACL9	P39405	Y2H
trxA__b3781__JW5856	fhuF__b4367__JW4331	P0AA25	P39405	Y2H
ybcQ__b0551__JW0539	fhuF__b4367__JW4331	Q47274	P39405	Y2H
yedD__b1928__JW1913	fhuF__b4367__JW4331	P31063	P39405	Y2H
yihL__b3872__JW3843	fhuF__b4367__JW4331	P0ACM9	P39405	Y2H
fic__b3361__JW3324	fic__b3361__JW3324	P20605	P20605	Y2H
fimC__b4316__JW4279	fimD__b4317__JW5780	P31697	P30130	LIT
