protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
cheZ__b1881__JW1870	cheZ__b1881__JW1870	P0A9H9	P0A9H9	LIT
mutM__b3635__JW3610	cheZ__b1881__JW1870	P05523	P0A9H9	Y2H
chpA__b2782__JW2753	chpA__b2782__JW2753	P0AE70	P0AE70	LIT
chpA__b2782__JW2753	chpR__b2783__JW2754	P0AE70	P0AE72	LIT
pta__b2297__JW2294	chpS__b4224__JW5750	P0A9M8	P08365	LIT
yfbK__b2270__JW2265	citA__b0619__JW0611	P76481	P77510	LIT
yaiI__b0387__JW0378	citC__b0618__JW0610	P0A8D3	P77390	Y2H
murC__b0091__JW0089	clcB__b1592__JW5263	P17952	P76175	LIT
barA__b2786__JW2757	clpA__b0882__JW0866	P0AEC5	P0ABH9	Y2H
clpS__b0881__JW0865	clpA__b0882__JW0866	P0A8Q6	P0ABH9	LIT
dnaK__b0014__JW0013	clpB__b2592__JW2573	P0A6Y8	P63284	LIT
clpA__b0882__JW0866	clpP__b0437__JW0427	P0ABH9	P0A6G7	LIT
clpP__b0437__JW0427	clpP__b0437__JW0427	P0A6G7	P0A6G7	Y2H
dps__b0812__JW0797	clpP__b0437__JW0427	P0ABT2	P0A6G7	LIT
yhhA__b3448__JW3413	clpS__b0881__JW0865	P0ADX7	P0A8Q6	Y2H
clpA__b0882__JW0866	clpX__b0438__JW0428	P0ABH9	P0A6H1	LIT
clpP__b0437__JW0427	clpX__b0438__JW0428	P0A6G7	P0A6H1	LIT
clpX__b0438__JW0428	clpX__b0438__JW0428	P0A6H1	P0A6H1	Y2H
rpoS__b2741__JW5437	clpX__b0438__JW0428	P13445	P0A6H1	LIT
uvrA__b4058__JW4019	clpX__b0438__JW0428	P0A698	P0A6H1	LIT
tsr__b4355__JW4318	cmtA__b2933__JW2900	P02942	P69826	LIT
ptsH__b2415__JW2408	cmtB__b2934__JW2901	P0AA04	P69824	LIT
cobB__b1120__JW1106	cobB__b1120__JW1106	P75960	P75960	Y2H
yccR__b0959__JW0942	cobB__b1120__JW1106	P75869	P75960	Y2H_LIT
ydgJ__b1624__JW5265	cobB__b1120__JW1106	P77376	P75960	LIT
codA__b0337__JW0328	codA__b0337__JW0328	P25524	P25524	Y2H
